Index[#version],Pointer[#version|],Original,Translated
000,0x1221ba,<SFF>ソ-ド攻撃<CD>スピ-ドの はやい かくとう攻撃<*04>,<SFF>Sword: <f01>A high speed melee attack.<f00><*04>
001,0x1221bc,<SFF>ハンマ-攻撃<CD>スピ-ドの はやい かくとう攻撃<*04>,<SFF>Hammer: <f01>A high speed melee<D3>attack.<f00><*04>
002,0x1221be,<SFF>ふういんぶき攻撃     (コンボ)<CD>「ふういんかいじょ」で 使用できる<*04>,
003,0x1221c0,<SFF>ライフル攻撃<CD>スピ-ドの はやい しゃげき攻撃<*04>,<SFF>Rifle: <f01>A high speed ranged attack.<f00><*04>
004,0x1221c2,<SFF>ガトリング攻撃<CD>スピ-ドの はやい しゃげき攻撃<*04>,<SFF>Gatling: <f01>A high speed ranged<D3>attack.<f00><*04>
005,0x1221c4,<SFF>こくいんぶき攻撃     (コンボ)<CD>「こくいんふか」で 使用できる<*04>,
006,0x1221c6,<SFF>レ-ザ-攻撃<CD>いリょくが 2ばいになる<*04>,<SFF>Laser: <f01>An attack with double<D3>power.<f00><*04>
007,0x1221c8,<SFF>ビ-ム攻撃<CD>いリょくが 2ばいになる<*04>,<SFF>Beam: <f01>An attack with double<D3>power.<f00><*04>
008,0x1221ca,<SFF>ミサイル攻撃<CD>ぜったいヒットと かんつうダメ-ジ<*04>,<SFF>Missile: <f01>A piercing attack.<D3>It never misses.<f00><*04>
009,0x1221cc,<SFF>ナパ-ム攻撃<CD>ぜったいヒットと かんつうダメ-ジ<*04>,<SFF>Napalm: <f01>A piercing attack.<D3>It never misses.<f00><*04>
010,0x1221ce,<SFF>ブレイク攻撃<CD>せいこうが 2ばいになる<*04>,<SFF>Break: <f01>Has double the usual<D3>success rate.<f00><*04>
011,0x1221d0,<SFF>プレス攻撃<CD>せいこうが 2ばいになる<*04>,<SFF>Press: <f01>Has double the usual<D3>success rate.<f00><*04>
012,0x1221d2,<SFF>デストロイ攻撃    (ダイレクト)<CD>せなかを むけた てきを はかいする<*04>,<SFF>Destroy (Direct):<f01>Target loses<D3>a part if target is cooling down.<f00><*04>
013,0x1221d4,<SFF>サクリファイス攻撃  (ダイレクト)<CD>パ-ツを ぎせいにして 大ダメ-ジ<*04>,<SFF>Sacrifice (Direct): <f01>Sacrifice<D3>this part for massive damage.<f00><*04>
014,0x1221d6,<SFF>タイムアタック攻撃<CD>じかんが すぎるほど 攻撃力アップ<*04>,
015,0x1221d8,<SFF>スタティック攻撃   (ダイレクト)<CD>そうこうが 1/4になる<*04>,
016,0x1221da,<SFF>バグ攻撃<CD>行動の せいこうリつを 下げる<*04>,<SFF>Bug: <f01>Decreases target's success<D3>rate. <f00><*04>
017,0x1221dc,<SFF>ウィルス攻撃<CD>行動の せいこうリつを 下げる<*04>,<SFF>Virus: <f01>Decreases target's success<D3>rate. <f00><*04>
018,0x1221de,<SFF>ウェ-ブ攻撃<CD>じゅんび時間を ながくする<*04>,<SFF>Wave: <f01>Slows opponent's<D3>preparation time.<f00><*04>
019,0x1221e0,<SFF>ホ-ルド攻撃<CD>じゅんび時間を ながくする<*04>,<SFF>Hold: <f01>Slows opponent's preparation<D3>time.<f00><*04>
020,0x1221e2,<SFF>ファイヤ-攻撃<CD>じゅんび中も ダメ-ジをあたえる<*04>,<SFF>Fire: <f01>Deals passive damage as<D3>time passes.<f00><*04>
021,0x1221e4,<SFF>メルト攻撃<CD>じゅんび中も ダメ-ジをあたえる<*04>,<SFF>Melt: <f01>Deals passive damage as<D3>time passes.<f00><*04>
022,0x1221e6,<SFF>サンダ-攻撃<CD>あいての 動きを ストップさせる<*04>,<SFF>Thunder: <f01>Stops your opponent<D3>from moving.<f00><*04>
023,0x1221e8,<SFF>フリ-ズ攻撃<CD>あいての 動きを ストップさせる<*04>,<SFF>Freeze: <f01>Stops your opponent<D3>from moving.<f00><*04>
024,0x1221ea,<SFF>カウントダウン攻撃  (ダイレクト)<CD>カウントが 0になると きのうていし<*04>,<SFF>Counter:<f01> Target will shutdown<f00><D3><f01>when countdown reaches 0.<f00><*04>
025,0x1221ec,<SFF>ホ-ムシック攻撃   (ダイレクト)<CD>時々 行動せずに 引きかえす<*04>,<SFF>Homesick (Direct):<f01> Target<D3>sometimes retreats mid-action.<f00><*04>
026,0x1221ee,<SFF>カウントアタック攻撃<CD>かいすうが ふえるほど 攻撃力アップ<*04>,
027,0x1221f0,<SFF>アサッシン攻撃    (ダイレクト)<CD>ぜったいに クリティカルする<*04>,
028,0x1221f2,<SFF>ぼうぎょ行動     (アクティブ)<CD>みかたの メダロットを えんごする<*04>,<SFF>Defend (Active): <f01>Protect your allies.<f00><*04>
029,0x1221f4,<SFF>かんぜんぼうぎょ行動 (アクティブ)<CD>みかたヘの 攻撃を ブロックする<*04>,<SFF>Complete Defense (Active): <f01>Block<D3>attacks aimed at your allies.<f00><*04>
