(2, ['Unknown', 'MedarotterName'], [None, 203], [(3, 0), (None, None)], [True, False], None, None, True, None)
256
kabuto#-1
kuwagata#-1
Index[#version],Unknown,MedarotterName
0,\x1a\x54\x01,セレクトたいいん
1,\x1a\x54\x01,セレクトたいいん
2,\x1a\x54\x01,セレクトたいいん
3,\x1a\x54\x01,セレクトたいいん
4,\x1a\x54\x01,セレクトたいいん
5,\x19\x55\x01,セレクトスリ-
6,\x19\x55\x01,セレクトスリ-
7,\x19\x55\x01,セレクトスリ-
8,\x19\x55\x01,セレクトスリ-
9,\x19\x55\x01,セレクトスリ-
10,\x13\x56\x01,ロボロボだんいん
11,\x13\x56\x01,ロボロボだんいん
12,\x13\x56\x01,ロボロボだんいん
13,\x13\x56\x01,ロボロボだんいん
14,\x13\x56\x01,ロボロボだんいん
15,\x13\x56\x01,ロボロボだんいん
16,\x13\x56\x01,ロボロボだんいん
17,\x13\x56\x01,ロボロボだんいん
18,\x13\x56\x01,ロボロボだんいん
19,\x13\x56\x01,ロボロボだんいん
20,\x13\x56\x01,ロボロボだんいん
21,\x13\x56\x01,ロボロボだんいん
22,\x13\x56\x01,ロボロボだんいん
23,\x13\x56\x01,ロボロボだんいん
24,\x13\x56\x01,ロボロボだんいん
25,\x13\x56\x01,ロボロボだんいん
26,\x13\x56\x01,ロボロボだんいん
27,\x13\x56\x01,ロボロボだんいん
28,\x13\x56\x01,ロボロボだんいん
29,\x13\x56\x01,ロボロボだんいん
30,\x13\x56\x01,ロボロボだんいん
31,\x13\x56\x01,ロボロボだんいん
32,\x4f\x57\x00,ひこうメダロット
33,\x4f\x57\x00,ひこうメダロット
34,\x4f\x57\x00,ひこうメダロット
35,\x4f\x57\x00,ひこうメダロット
36,\x4f\x57\x00,ひこうメダロット
37,\x50\x58\x00,ふゆうメダロット
38,\x50\x58\x00,ふゆうメダロット
39,\x50\x58\x00,ふゆうメダロット
40,\x50\x58\x00,ふゆうメダロット
41,\x50\x58\x00,ふゆうメダロット
42,\x51\x59\x00,たそくメダロット
43,\x51\x59\x00,たそくメダロット
44,\x51\x59\x00,たそくメダロット
45,\x51\x59\x00,たそくメダロット
46,\x51\x59\x00,たそくメダロット
47,\x52\x5a\x00,にそくメダロット
48,\x52\x5a\x00,にそくメダロット
49,\x52\x5a\x00,にそくメダロット
50,\x52\x5a\x00,にそくメダロット
51,\x52\x5a\x00,にそくメダロット
52,\x53\x5b\x00,くるまメダロット
53,\x53\x5b\x00,くるまメダロット
54,\x53\x5b\x00,くるまメダロット
55,\x53\x5b\x00,くるまメダロット
56,\x53\x5b\x00,くるまメダロット
57,\x54\x5c\x00,タンクメダロット
58,\x54\x5c\x00,タンクメダロット
59,\x54\x5c\x00,タンクメダロット
