(3, ['Model', 'Name', 'IsFemale'], [203, 203, None], [(7, 0), (9, 0), (1, 0)], [False, False, True], None, None, True, None)
256
kabuto#25696
kuwagata#25696
Index[#version],Model,Name,IsFemale
0,RAP-11\xcb,ウォンマスケット\xcb,\x00
1,PTL-11\xcb,ヒドゥンバスタ-\xcb,\x00
2,EGL-01\xcb,リ-クヘッド\xcb  ,\x00
3,HWK-01\xcb,バ-ンヘッド\xcb  ,\x00
4,SWL-01\xcb,ブラインドネス\xcb ,\x00
5,PRN-01\xcb,ロストレストア\xcb ,\x00
6,RVN-01\xcb,コベッタ-\xcb   ,\x00
7,CCD-01\xcb,ビ-トサラウンド\xcb,\x00
8,GRH-01\xcb,トップノットン\xcb ,\x00
9,CHC-01\xcb,アウトプラマ-\xcb ,\x00
10,TJK-01\xcb,コアヘッド\xcb   ,\x00
11,PCK-01\xcb,インデコレ-タ-\xcb,\x00
12,SLN-11\xcb,コンプライン\xcb  ,\x01
13,CNR-01\xcb,オプトナ-ブ\xcb  ,\x01
14,PIC-01\xcb,ディスポ-ズ\xcb  ,\x01
15,MQT-01\xcb,スットル\xcb    ,\x01
16,PTM-01\xcb,フォ-マウント\xcb ,\x01
17,JPT-01\xcb,ジョビアン\xcb   ,\x01
18,CRN-01\xcb,カインド\xcb    ,\x01
19,DFL-11\xcb,ナオブアイソ-\xcb ,\x00
20,FLS-01\xcb,ウリボン\xcb    ,\x00
21,ISE-01\xcb,シュリンプレス\xcb ,\x00
22,MAN-01\xcb,ソレナッシ-\xcb  ,\x00
23,CHS-01\xcb,ディスカウンタ-\xcb,\x00
24,DGD-01\xcb,ジェットブラック\xcb,\x00
25,QPD-01\xcb,ラブリンク\xcb   ,\x00
26,VBL-01\xcb,ゼロジ-\xcb    ,\x00
27,DVL-21\xcb,ピキット\xcb    ,\x00
28,GAG-01\xcb,エンダ-リン\xcb  ,\x00
29,WCH-11\xcb,カイエン\xcb    ,\x01
30,SPN-01\xcb,AAM\xcb     ,\x01
31,BCY-01\xcb,マックスシャウト\xcb,\x01
32,MRS-01\xcb,ボルケニィ\xcb   ,\x01
33,WEA-21\xcb,デスブレイク\xcb  ,\x00
34,BOW-01\xcb,ワ-シップ\xcb   ,\x00
35,TLB-01\xcb,スレイタ-\xcb   ,\x00
36,MTH-01\xcb,グレ-トバックル\xcb,\x00
37,SRC-01\xcb,チェイサ-\xcb   ,\x00
38,IVP-01\xcb,ハントヒュ-マン\xcb,\x00
39,HMS-01\xcb,デフォミスティ\xcb ,\x00
40,KBS-01\xcb,ウィルスファング\xcb,\x00
41,DHN-01\xcb,ヘッドレス\xcb   ,\x00
42,TIC-01\xcb,トリッキ-\xcb   ,\x00
43,LOS-01\xcb,モグリン\xcb    ,\x00
44,FLA-01\xcb,トッピ-\xcb    ,\x00
45,FAW-01\xcb,ロングフォ-ン\xcb ,\x00
46,TMN-01\xcb,トラップバッグ\xcb ,\x01
47,DRI-01\xcb,ギャザ-\xcb    ,\x01
48,CRK-01\xcb,ヴィオラ\xcb    ,\x01
49,ETH-01\xcb,グラスウォ-タ-\xcb,\x01
50,KWG-11\xcb,アンテナ\xcb    ,\x00
51,KBT-11\xcb,ミサイル\xcb    ,\x00
52,STG-01\xcb,ハンタ-\xcb    ,\x00
53,KLN-01\xcb,テンションアップ\xcb,\x00
54,KBT-31\xcb,ミサイルかい\xcb  ,\x00
55,KBT-41\xcb,プロミネンス\xcb  ,\x00
56,LHB-11\xcb,ダ-リング\xcb   ,\x00
57,MWB-11\xcb,フォ-リ-\xcb   ,\x00
58,TIR-11\xcb,スノ-トファイア\xcb,\x00
59,BAN-11\xcb,ゴッツイトサカン\xcb,\x00
60,DOG-21\xcb,ヘッドバルカン\xcb ,\x00
61,ALN-11\xcb,オッドボディ\xcb  ,\x00
62,VER-01\xcb,タ-ゲッタ-\xcb  ,\x00
63,FLL-01\xcb,フリルン\xcb    ,\x00
64,KWG-56\xcb,ブラックインコム\xcb,\x01
65,APL-01\xcb,エアフライト\xcb  ,\x00
66,PGM-01\xcb,パ-ルフィング\xcb ,\x00
67,KRN-01\xcb,シュイフトン\xcb  ,\x00
68,TKG-01\xcb,アンマスク\xcb   ,\x00
69,KWG-51\xcb,ツインインコム\xcb ,\x00
70,STG-11\xcb,インサルト\xcb   ,\x00
71,CHT-01\xcb,イ-トアップ\xcb  ,\x00
72,WLF-01\xcb,シタデ-ル\xcb   ,\x00
73,RCM-01\xcb,スチ-ムボ-ド\xcb ,\x00
74,KBT-51\xcb,バリスタ-\xcb   ,\x00
75,KLN-11\xcb,レインフォ-ス\xcb ,\x00
76,KBT-56\xcb,ブラックバリスタ\xcb,\x01
77,GNB-01\xcb,スクラビンブラシ\xcb,\x00
78,BAF-01\xcb,アングラ-\xcb   ,\x00
79,SRU-01\xcb,フォ-スキャノン\xcb,\x00
80,SHP-01\xcb,ウォ-タフリ-ト\xcb,\x00
81,GHL-01\xcb,デキシ-\xcb    ,\x00
